Season,Map,My_Hero,My_Tank,My_DPS,My_Sups,E_Tank,E_DPS,E_Sups,Result,Closeness,Elims/10,Deaths/10,DMG/10,Heal/10,Role,Notes
15,Lijiang,Ball,Ball,"Soj,Sym","Mercy,Moira",Zarya,"Reaper,Tracer","Kiri,Mercy",1,0,28.4,4.5,10.4,0.6,Tank,
15,Blizzard,Ball,Ball,"Ashe,Soj","Juno,Kiri",Ball,"Ashe,Venture","Kiri,Mercy",1,1,26,2.6,11.2,0.9,Tank,
15,Oasis,Ball,Ball,"Echo,Torb","Lucio,Mercy",Ball,"Soj,Tracer","Mercy,Moira",0,0,21,4.7,11.8,1.2,Tank,Zarya vs ball is very hard to deal with. He did go Zarya for last point where we lost
15,Colosseo,Ashe,Hazard,"Ashe,Venture","Ana,Lucio",Zarya,"Cass,Sombra","Bap,Kiri",1,1,23,7,11.4,0,DPS,
15,Hollywood,Ashe,Sigma,"Ashe,Soldier","Ana,Brig",Rein,"Genji,Sombra","Kiri,Moira",0,0,16.5,8.6,8.4,0,DPS,There was nothing to kill with how mobile everyone was. 
15,Runasapi,Tracer,Ram,"Genji,Tracer","Ana,Kiri",Hazard,"Cass,Genji","Ana,Mercy",1,0,23,7,7.5,0,DPS,
15,Samoa,Tracer,Orisa,"Soldier,Tracer","Kiri,Lucio",Doom,"Genji,Sombra","Illari,Juno",0,-1,14.8,10.6,8.9,0,DPS,
15,Havana,Ashe,Orisa,"Ashe,Torb","Kiri,LW",Queen,"Torb,Tracer","Ana,Mercy",0,-1,10.9,9.4,13.3,0,DPS,
15,Nepal,Tracer,Ball,"Soj,Tracer","Kiri,Lucio",Ball,"Cass,Tracer","Ana,Lucio",0,-1,13.8,7.5,9.4,0,DPS,
15,Numbani,Tracer,Winston,"Soj,Tracer","Ana,Brig",DVA,"Ashe,Soldier","Ana,Lucio",1,1,33.1,1.7,9.2,0,DPS,
15,NQS,Ball,Ball,"Soldier,Venture","Ana,Kiri",Doom,"Ashe,Mei","Juno,Kiri",1,1,19.8,6.4,10.3,1,Tank,
15,Dorado,Queen,Queen,"Ashe,Soj","Ana,Kiri",Zarya,"Cass,Mei","Mercy,Zen",1,0,21.7,6.7,10.4,1.5,Tank,
15,Junkertown,Hazard,Hazard,"Genji,Tracer","Ana,Zen",Hazard,"Torb,Tracer","Kiri,Moira",0,0,19.5,6.7,9.8,0.4,Tank,
15,Nepal,Mei,Rein,"Ashe,Mei","Ana,Mercy",Winston,"Reaper,Soj","Ana,LW",1,-1,38.9,3.9,12.2,1.4,DPS,
15,Numbani,Tracer,Winston,"Soj,Tracer","Brig,Juno",Mauga,"Genji,Soj","Ana,LW",1,-1,26.3,4,8.7,0,DPS,
15,Esperanca,Tracer,Winston,"Soj,Tracer","Kiri,Mercy",Winston,"Genji,Soj","Mercy,Moira",1,0,34.2,3.9,10.3,0,DPS,
15,Eichenwalde,Kiri,Sigma,"Cass,Venture","Juno,Kiri",Ball,"Junk,Torb","Ana,Brig",0,1,8.3,8.3,5,7.6,SUP,
15,Busan,Juno,Orisa,"Soj,Tracer","Juno,Moira",Hazard,"Echo,Soldier","Juno,Zen",1,0,12.8,7.1,4.7,12.1,SUP,
15,Suravasa,Juno,Hog,"Tracer,Venture","Ana,Juno",Ball,"Soj,Soldier","Ana,Moira",0,0,11.2,5.3,3.9,9.6,SUP,
15,Gibraltar,Ana,Rein,"Bastion,Genji","Ana,LW",Winston,"Cass,Reaper","Kiri,Mercy",0,-1,10.4,5.9,5.6,9,SUP,
15,Lijiang,Ana,Doom,"Ashe,Junk","Ana,Kiri",Zarya,"Mei,Soldier","Ana,Juno",0,-1,3.5,10.4,3.5,9.5,SUP,
15,Antarctic,Ana,Ram,"Soj,Torb","Ana,Kiri",Winston,"Genji,Tracer","Ana,Moira",0,-1,8.3,8.3,3.4,11.3,SUP,
15,Shambali,Kiri,Rein,"Ashe,Reaper","Juno,Kiri",Zarya,"Genji,Soj","Ana,Mercy",1,1,15.1,2.5,3.6,11.9,SUP,
15,Rialto,Kiri,Rein,"Cass,Venture","Ana,Kiri",Rein,"Genji,Torb","Ana,Moira",0,-1,14.9,7.4,4.2,10,SUP,
15,Blizzard,Kiri,Zarya,"Ashe,Reaper","Kiri,LW",Queen,"Genji,Torb","Ana,Kiri",1,0,11.8,4.9,5.5,8.2,SUP,
15,Oasis,Juno,Winston,"Ashe,Soj","Ana,Juno",DVA,"Junk,Torb","Ana,Kiri",0,0,8.7,7,3.4,7.1,SUP,
15,Havana,Ana,Zarya,"Ashe,Genji","Ana,Bap",Zarya,"Ashe,Soj","Ana,Moira",1,0,12.1,4.2,5.2,11.9,SUP,
15,Ilios,Ball,Ball,"Ashe,Tracer","Ana,Brig",Sigma,"Junk,Soj","Kiri,Moira",1,1,24.2,3.5,9.1,3.5,Tank,
15,Junkertown,Mauga,Mauga,"Cass,Hanzo","Juno,Kiri",Winston,"Soj,Venture","Ana,Mercy",0,-1,15.7,8.6,10.3,0.8,Tank,
15,Runasapi,Ball,Ball,"Cass,Tracer","Kiri,Mercy",Ball,"Soj,Tracer","Ana,Kiri",1,-1,24,4,7.2,0.8,Tank,
15,Hollywood,Winston,Winston,"Soj,Tracer","Ana,Mercy",DVA,"Ashe,Mei","Bap,Juno",1,0,25,6.3,12.5,0.5,Tank,
15,Gibraltar,Winston,Winston,"Ashe,Genji","LW,Moira",Queen,"Ashe,Torb","Kiri,Mercy",1,0,21,3.8,11.7,1.2,Tank,
15,King's,Zarya,Zarya,"Junk,Hanzo","Ana,Juno",Zarya,"Junk,Soj","Kiri,Zen",0,0,11.7,4.8,11.6,0,Tank,
15,Route,Juno,Hazard,"Pharah,Soj","Ana,Juno",Winston,"Ashe,Echo","Brig,Juno",1,0,13.5,4.7,3.5,10.6,SUP,
15,Shambali,Kiri,Sigma,"Soldier,Torb","Kiri,Zen",Zarya,"Soj,Torb","Ana,Mercy",1,1,13.1,3.7,6.4,9,SUP,
15,NJC,Juno,Queen,"Ashe,Genji","Juno,Kiri",Rein,"Cass,Junk","Ana,Kiri",1,0,18.4,5.1,3.4,8.9,SUP,
15,Busan,Juno,Hazard,"Ashe,Tracer","Juno,Zen",Winston,"Genji,Junk","Brig,Moira",0,-1,5,7.6,4,11.2,SUP,
15,Suravasa,Ashe,Ram,"Ashe,Genji","Ana,Brig",Orisa,"Soj,Soldier","Ana,Mercy",1,0,19.1,7.4,10.7,0,DPS,
15,MidTown,Ram,Ram,"Hanzo,Soj","Illari,Juno",Orisa,"Mei,Soj","Ana,Mercy",1,1,36,2,15.3,0.4,Tank,
15,Busan,Hazard,Hazard,"Cass,Sym","Kiri,Mercy",Rein,"Bastion,Sombra","Ana,Juno",1,0,22.1,8.3,11.5,0.3,Tank,
15,Eichenwalde,Torb,Rein,"Soj,Torb","Ana,Lucio",Queen,"Ashe,Soj","Juno,Mercy",1,1,26.9,3.8,13.1,0,DPS,
15,Route,Ashe,Zarya,"Ashe,Genji","Ana,Moira",Zarya,"Ashe,Cass","Ana,Brig",1,0,14.1,8,9,0,DPS,
15,Oasis,Torb,Zarya,"Reaper,Torb","Lucio,Moira",Ram,"Torb,Venture","Kiri,Moira",0,0,14.6,8.2,10.3,0,DPS,
15,NJC,Kiri,Ball,"Ashe,Genji","Ana,Kiri",DVA,"Cass,Tracer","Ana,Zen",1,0,9.5,5.2,4.9,7.6,SUP,
15,King's,Torb,Winston,"Mei,Torb","Ana,Moira",Queen,"Genji,Venture","Ana,Juno",1,0,28.3,4.8,13.2,0,DPS,
15,Rialto,Ana,Mauga,"Genji,Soj","Ana,Lucio",DVA,"Ashe,Junk","Ana,Brig",1,0,11,3.4,6,9.7,SUP,
15,NQS,Torb,Mauga,"Soj,Torb","Juno,Moira",Ball,"Genji,Sombra","Juno,Kiri",1,1,20.9,5.7,11.4,0,DPS,
15,Eichenwalde,Pharah,Orisa,"Ashe,Pharah","Kiri,Mercy",Zarya,"Junk,Soj","Ana,Illari",1,0,20.5,8.2,9.1,0.54,DPS,
15,Antarctic,Soj,Zarya,"Mei,Soj","Ana,Brig",Queen,"Soj,Tracer","Ana,Illari",0,0,14.5,8.5,7.6,0,DPS,
15,Esperanca,Ball,Ball,"Ashe,Tracer","Ana,Zen",DVA,"Junk,Tracer","Brig,Lucio",0,0,20.2,4.6,9.3,0.29,Tank,
15,Shambali,Ram,Ram,"Cass,Soj","Ana,Mercy",Zarya,"Echo,Hanzo","Ana,Zen",1,0,20.9,6.7,10,0.9,Tank,
15,Paraiso,Zarya,Zarya,"Ashe,Mei","Moira,Zen",Zarya,"Ashe,Genji","Ana,Lucio",1,0,27.5,4.7,11,0.27,Tank,
15,Gibraltar,Winston,Winston,"Junk,Soldier","Mercy,Moira",DVA,"Reaper,Soj","Ana,Juno",1,1,30.9,1.8,14.3,0,Tank,
15,NQS,Kiri,Ball,"Genji,Tracer","Brig,Kiri",DVA,"Reaper,Sombra","Brig,Juno",1,0,13.3,4.8,6.8,6.2,SUP,
15,Route,Moira,Ball,"Genji,Tracer","Moira,Zen",DVA,"Genji,Venture","Illari,Lucio",1,1,25,3.3,8.2,5.6,SUP,
